"COU","Country","IND","Indicator","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,7997.817,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,7607.793,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,6172.927,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,6001.794,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,6401.58,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,2667.868,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,3333.05,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,3159.617,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,3756.862,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,4069.261,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,3680.117,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,3657.109,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,3429.15,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,2537.348,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,2435.297,,
"CZE","Czech Republic","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,2450.717,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,3881.022,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,4858.335,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,4402.504,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,4410.448,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,4695.038,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,4165.495,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,4340.708,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,4178.643,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,3635.58,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,3566.497,,
"CZE","Czech Republic","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,3950.862,,
"DNK","Denmark","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,28457.559,,
"DNK","Denmark","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,32504.526,,
"DNK","Denmark","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,33844.253,,
"DNK","Denmark","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,32744.64,,
"DNK","Denmark","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,225775.39,,
"DNK","Denmark","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,37098.247,,
"DNK","Denmark","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,31997.441,,
"DNK","Denmark","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,33498.134,,
"DNK","Denmark","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,37549.296,,
"DNK","Denmark","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,18637.539,,
"DNK","Denmark","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,21951.963,,
"DNK","Denmark","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,23069.173,,
"DNK","Denmark","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,22488.747,,
"DNK","Denmark","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,215330.688,,
"DNK","Denmark","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,25124.266,,
"DNK","Denmark","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,22054.541,,
"DNK","Denmark","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,23000.814,,
"DNK","Denmark","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,25945.141,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,9820.021,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,10552.563,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,10775.08,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,10255.893,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,10444.702,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,11973.981,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,9942.9,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,10497.32,,
"DNK","Denmark","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,11604.155,,
"FIN","Finland","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,8282.324,,
"FIN","Finland","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,9086.31,,
"FIN","Finland","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,9469.577,,
"FIN","Finland","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,11615.097,,
"FIN","Finland","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,10119.242,,
"FIN","Finland","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,9352.936,,
"FIN","Finland","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,13057.001,,
"FIN","Finland","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,14105.833,,
"FIN","Finland","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,11912.486,,
"FIN","Finland","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,10005.142,,
"FIN","Finland","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,10058.627,,
"FIN","Finland","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,3804.01,,
"FIN","Finland","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,4112.658,,
"FIN","Finland","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,4653.387,,
"FIN","Finland","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,6914.436,,
"FIN","Finland","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,5178.511,,
"FIN","Finland","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,4786.354,,
"FIN","Finland","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,7420.742,,
"FIN","Finland","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,8097.056,,
"FIN","Finland","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,6940.54,,
"FIN","Finland","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,5059.538,,
"FIN","Finland","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,5102.562,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,4478.314,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,4973.653,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,4816.19,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,4700.661,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,4940.731,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,4566.581,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,5636.259,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,6008.777,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,4971.946,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,4945.604,,
"FIN","Finland","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,4956.066,,
"FRA","France","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,312699.006,,
"FRA","France","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,278324.049,,
"FRA","France","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,300973.242,,
"FRA","France","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,297034.527,,
"FRA","France","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,288703.644,,
"FRA","France","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,258655.812,,
"FRA","France","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,275671.219,,
"FRA","France","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,293641.777,,
"FRA","France","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,250772.359,,
"FRA","France","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,314037.236,,
"FRA","France","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,313542.52,,
"FRA","France","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,186991.798,,
"FRA","France","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,179152.542,,
"FRA","France","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,50761.043,,
"FRA","France","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,51002.924,,
"FRA","France","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,184360.064,,
"FRA","France","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,160627.522,,
"FRA","France","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,172138.02,,
"FRA","France","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,188383.347,,
"FRA","France","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,160880.916,,
"FRA","France","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,182289.893,,
"FRA","France","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,173176.775,,
"FRA","France","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,125707.208,,
"FRA","France","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,99171.507,,
"FRA","France","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,95772.211,,
"FRA","France","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,94469.713,,
"FRA","France","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,104343.58,,
"FRA","France","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,98028.29,,
"FRA","France","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,103533.2,,
"FRA","France","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,105258.431,,
"FRA","France","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,89891.443,,
"FRA","France","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,131747.343,,
"FRA","France","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,140365.745,,
"DEU","Germany","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,280162.847,,
"DEU","Germany","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,302068.302,,
"DEU","Germany","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,246786.16,,
"DEU","Germany","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,240817.006,,
"DEU","Germany","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,255373.85,,
"DEU","Germany","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,302756.686,,
"DEU","Germany","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,333617.759,,
"DEU","Germany","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,338313.265,,
"DEU","Germany","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,292968.631,,
"DEU","Germany","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,294460.438,,
